"log_prob","rule"
-9.21841717078,"PP  _on _UNK PP"
-2.51316085685,"PP  _for"
-10.8223605639,"PP  _out"
-6.97893911709,"PP  _like IP"
-8.63124287577,"PP  _out LEX"
-7.87792158473,"PP  LEX"
-5.78576383337,"PP  _behind"
-2.92600408584,"PP  _from"
-5.79223605897,"PP  _onto"
-5.77933322824,"PP  _through"
-3.82607394493,"PP  _on"
-9.21841717078,"PP  _about _non-finite LEX LEX"
-5.16624901697,"PP  _out _of"
-2.68773834362,"PP  _to"
-5.77294371172,"PP  _down PP"
-8.52595893272,"PP  _on PP"
-2.5764944227,"PP  _UNK"
-9.72832494225,"PP  _about _give"
-10.8223605639,"PP  _UNK LEX LEX"
-1.29196575009,"PP  _like"
-2.74710819757,"PP  _with"
-6.93727240902,"PP  _UNK NP"
-5.18023492168,"PP  LEX _past _say"
-2.16984050364,"PP  _at"
-9.72374827523,"PP  _UNK PP"
-7.78438265215,"PP  LEX _UNK LEX _over"
-5.93883246253,"PP  _at _cook"
-2.01267258467,"PP  _about"
-10.8223605639,"PP  _UNK _cook"
-10.8155345988,"PP  LEX IP"
-15.8059671856,"PP  LEX NP"
-5.78576383337,"PP  _underneath"
-10.8223605639,"PP  _over"
-3.63475517221,"PP  _of"
-15.8059671856,"PP  LEX PP"
-15.8059671856,"PP  LEX VP"
-5.90192978426,"PP  _on _to"
-10.8223605639,"PP  _in VP"
-10.8223605639,"PP  _at LEX"
2.22042434345e-16,"START  IP"
-6.95336747207,"VP  _show"
-13.0718878643,"VP  _give"
-8.55186085647,"VP  LEX _into"
-11.686928914,"VP  _think _null _UNK IP"
-7.81616415266,"VP  LEX _UNK _UNK"
-5.7002922608,"VP  _finish"
-6.717551864,"VP  _go IP"
-13.0718878643,"VP  LEX _go"
-8.05637716708,"VP  _whine"
-6.93162756969,"VP  _behave"
-6.67840423471,"VP  _smell PP"
-8.34626521547,"VP  _have _non-finite LEX _for"
-7.37321927365,"VP  _dance PP"
-4.6743582568,"VP  _drink"
-8.54105014869,"VP  _think _UNK"
-5.66271585537,"VP  _sound PP"
-3.95456594072,"VP  LEX _on"
-13.0718878643,"VP  _UNK _null IP"
-7.33387016489,"VP  _help PP"
-7.31789839087,"VP  LEX _UNK"
-7.99225337212,"VP  _blast"
-8.38230457307,"VP  _UNK _present LEX"
-10.5886136256,"VP  _do _dress PP"
-7.43887283933,"VP  _suppose _non-finite"
-13.0718878643,"VP  _go _UNK LEX"
-5.91670966536,"VP  _know"
-7.30534224248,"VP  _roast"
-6.62794615987,"VP  _chase"
-0.776777565692,"VP  LEX"
-3.46980084589,"VP  _want _non-finite VP"
-7.63993902116,"VP  _think _null IP"
-9.10334326301,"VP  LEX LEX _UNK LEX"
-13.0718878643,"VP  _go _non-finite _UNK PP"
-7.99848385267,"VP  _freeze"
-8.43890520878,"VP  _tell CP"
-9.85472168509,"VP  _let _UNK VP"
-8.22162461882,"VP  _wan _non-finite VP"
-7.31161182046,"VP  _bump"
-9.60787720332,"VP  _UNK _try"
-13.0718878643,"VP  _go _on"
-4.20863911844,"VP  _say"
-10.6756115007,"VP  _UNK _UNK PP"
-7.44245063786,"VP  _hold PP"
-12.3787406837,"VP  _stay"
-10.1831980262,"VP  _UNK _UNK"
-6.20569068996,"VP  _sing"
-8.01741164968,"VP  _cancel"
-7.84789338486,"VP  LEX _non-finite VP"
-6.51688792051,"VP  _think _about"
-5.80126917823,"VP  LEX _non-finite"
-6.73330636115,"VP  _try _non-finite VP"
-8.03670463144,"VP  _frighten"
-13.0718878643,"VP  _think"
-6.24711778513,"VP  _play PP"
-8.09004997791,"VP  _mean _non-finite"
-7.77035503233,"VP  LEX LEX LEX"
-9.46270272066,"VP  LEX _over"
-6.40925524105,"VP  _shoot"
-8.22162461882,"VP  _knit PP"
-8.47853095333,"VP  _try LEX LEX"
-11.686928914,"VP  _sound LEX IP"
-12.3796307594,"VP  LEX _UNK IP"
-7.32108485225,"VP  _pretend CP"
-11.1275040447,"VP  _tell _UNK"
-11.9732755756,"VP  _come PP"
-3.56041272026,"VP  _mean"
-8.11782919811,"VP  _figure CP"
-10.8762461919,"VP  _open PP"
-10.4344841635,"VP  _wanT LEX _draw"
-9.43603574132,"VP  _suppose LEX IP"
-8.0630216311,"VP  _fight PP"
-5.81032669981,"VP  _UNK _non-finite VP"
-8.13918205165,"VP  _wrap _with"
-7.78539277533,"VP  _sleep"
-7.24766344309,"VP  _pull"
-7.13086475499,"VP  _live"
-7.73130897046,"VP  LEX _UNK VP"
-9.1417732752,"VP  _UNK _non-finite LEX"
-6.85307509477,"VP  _kill"
-7.32106787609,"VP  LEX IP"
-8.03670463144,"VP  _fund PP"
-12.3787406837,"VP  _stay PP"
-12.3796307594,"VP  LEX LEX IP"
-6.94679573257,"VP  LEX _do"
-9.36005326654,"VP  _help"
-8.05637716708,"VP  LEX _out"
-8.00475339562,"VP  _punch"
-7.30533667211,"VP  _UNK _UNK LEX"
-8.13201365377,"VP  _carry _to"
-7.19312586404,"VP  _saw"
-7.3179153133,"VP  _keep PP"
-6.90824720963,"VP  _hold"
-8.15367487175,"VP  _crawl _on"
-4.83883616413,"VP  _like _non-finite VP"
-9.85472168509,"VP  _come _UNK PP"
